bvid,status,message
BV1h6TQzaELf,SKIP,already downloaded
BV17HMcziEa3,SKIP,already downloaded
BV1SxQfYDEhy,SKIP,already downloaded
BV1K8411q7ai,SKIP,already downloaded
BV1YaNqz9EH1,SKIP,already downloaded
BV1UFNqz1EHJ,SKIP,already downloaded
BV1Ac411v7kG,SKIP,already downloaded
BV1T5VSzPEPr,SKIP,already downloaded
BV1sZ7hzdE1a,SKIP,already downloaded
BV1uP411m7HK,SKIP,already downloaded
BV1a4TfzsEee,SKIP,already downloaded
BV1Dv411P7X6,SKIP,already downloaded
BV1SKN8zbE2T,SKIP,already downloaded
BV1Rp4y1G7mN,SKIP,already downloaded
BV16VTLz5E3z,SKIP,already downloaded
BV18eNvzyEVa,SKIP,already downloaded
BV1HM2XY3EcT,SKIP,already downloaded
BV1nm421s7VL,SKIP,already downloaded
BV1mwNqz5E2y,SKIP,already downloaded
BV11SNtznENy,SKIP,already downloaded
BV1mVM8zeEUV,SKIP,already downloaded
BV1nvKnewEVR,SKIP,already downloaded
BV1n6M4zJErd,SKIP,already downloaded
BV1dm42177VN,SKIP,already downloaded
BV1Xf421B7pC,SKIP,already downloaded
BV1oTGbzWEtx,SKIP,already downloaded
BV1AZMqzmEA2,SKIP,already downloaded
BV1vA411A7n7,SKIP,already downloaded
BV1Vk45eREPw,SKIP,already downloaded
BV1RjTazjEEh,SKIP,already downloaded
BV1z8411A7fn,SKIP,already downloaded
BV13SMuzJEU5,SKIP,already downloaded
BV1bUExznEny,SKIP,already downloaded
BV1pUHzeFEAv,SKIP,already downloaded
BV1fcMmziEfs,SKIP,already downloaded
BV1RAM3zbE2C,SKIP,already downloaded
BV11XMUzSEg9,SKIP,already downloaded
BV1QoMwzhETi,SKIP,already downloaded
BV1E3jqzbETb,SKIP,already downloaded
BV19SNizpECf,SKIP,already downloaded
BV1knM8zfECU,SKIP,already downloaded
BV1nW421d76Z,SKIP,already downloaded
BV1RZ4y1Y7yL,SKIP,already downloaded
BV1SkMUz4E46,SKIP,already downloaded
BV1wLNqziEcJ,SKIP,already downloaded
