bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1SpNbzZEYx,AI算力建设不只光模块，还有不可缺的桥梁MPO，4家核心公司深度梳理,//i2.hdslb.com/bfs/archive/128ce15308dd272daaca5cce2c801c3863b1360d.jpg,7:14,23126,605,0,赛道投研,28792
BV146E9z8EEJ,ai山海经意大利手翻书动画,//i1.hdslb.com/bfs/archive/aebacabeda54ea4249903b73f5d2bf9d2ceec14e.jpg,1:47,2444155,318569,220,手翻书制作,27858
BV1AjLqzwE6s,神仙打架！5 大开源AI长视频生成项目盘点！支持AI电影/AI动画超长时长生成！Magi-1|SkyReels-V2|TTT-MLP|FramePack|Moc,//i1.hdslb.com/bfs/archive/6aac010b1007301e76b7f97c5b1fd900eb449fa0.jpg,4:47,4637330,23650,62,AI-GitHub,60918
BV13kMzziE4F,逆天曹贼侦探，和人妻私奔，ai对话の推理游戏《诡秘推理》demo直播全流程实况,//i0.hdslb.com/bfs/archive/4eeb699a90c4ec775920b1778abcc638f0b450b7.jpg,130:23,247909,12061,24,宝玉Hameln,77913
BV19BTgzQEmy,AI 大模型周报 2025年6月 a（附链接）,//i0.hdslb.com/bfs/archive/056807b56798e1034d5be087b82e9e28ac172525.jpg,11:19,880359,25740,20,Akinokoe,73891
BV1W1TLzpE9j,【AI视频教程】2025吃透AI视频制作全套教程（全100集）通俗易懂，学完即就业!拿走不谢，学不会我退出AI圈！！附工具,//i0.hdslb.com/bfs/archive/d94386e9bf81622db0e6b5afe5fceef84ccb6edb.png,79:42,829103,2460,3,SD-官方教程,6431
BV1mHMizpESc,AI：采访维多利亚时代的伦敦市民,//i2.hdslb.com/bfs/archive/7ec5ef4d4abd0edac07981f475367698906d1107.jpg,1:4,37794,2417,2,阿鲁蒂娜,92292
BV1uvjEzFE8X,6款热门AI视频大模型终极对比 ！最强的竟然是他！,//i0.hdslb.com/bfs/archive/406dd490ea743381f64afa206c01d470ff1fe0fa.jpg,8:22,2112709,609276,394,草莓味の喵喵酱,1521955
BV1h1VbzHER2,黑马程序员AI大模型开发零基础到项目实战全套视频教程，基于DeepSeek和Qwen大模型，从大模型私有化部署、运行机制到独立搭建聊天机器人一套通关,//i0.hdslb.com/bfs/archive/9a7540aa5c23259ee54cfc6d418e26cf49c301a6.jpg,187:59,3441109,107927,239,黑马程序员,4209918
BV1TmMqzsE7J,【可灵AI完整教程】目前B站最全可灵AI视频制作教学！零基础从脚本生成、AI分镜、配音配乐到视频剪辑全流程保姆级教程！AI视频制作入门必学系列，看到就是赚到！,//i0.hdslb.com/bfs/archive/b685e7acd905efdb3dc1d31b829e0822689e9f1a.jpg,131:59,47853,159,0,可灵AI视频教学,30
BV1eCJVzFE9x,AI国漫10分钟太牛了,//i0.hdslb.com/bfs/archive/19813060e15309bad8e41bc07b7f15e7f02581a1.jpg,9:17,2539462,12711,8,二只奶琪,286
BV1HV5Mz2Eqt,【AI 陶喆】《新鸳鸯蝴蝶梦》『昨日像那东流水 离我远去不可留』,//i1.hdslb.com/bfs/archive/e9cde4b4bc8c471a47f65a571666fceaee6edd3c.jpg,3:8,3358319,400748,205,寂寞的渲染_,17134
BV1sU1NYyEHH,【干货】从0开始制作AI动画短片全流程思路拆解（上）,//i0.hdslb.com/bfs/archive/8316b2160a8b487db1e828a453ed4ad5cfd6093e.jpg,27:36,20356120,139899,87,朱雷蒙Remo,11270
BV1HtMuzeEXi,蛋仔派对：听声音猜Ai山海经？这我可太熟了，不靠运气全凭实力,//i2.hdslb.com/bfs/archive/072bd91eadfe1795189b001b17cb9e4fa9213458.jpg,3:56,302547,28604,14,唐公主玉儿,450387
BV1CNTLzSEJq,颠覆性碾压！SD V4.10 登场，即梦、海螺 AI 只能当陪衬！,//i0.hdslb.com/bfs/archive/98581a56b7b3751aff9c5e001ec08b3eacd00933.jpg,3:0,821543,761,76,AI出图-由乃,5446
BV1yJM8z8EmB,我是怎么用AI弯道超车的！——全新AI练习系统上线！,//i2.hdslb.com/bfs/archive/11c0ba5b7b922825a571ab905b2f5489d9adf5a2.jpg,88:30,103659,335,0,小花同学,22899
BV1r3MczVEUU,AI穿越之当华盛顿有一部手机,//i2.hdslb.com/bfs/archive/8fce07d3a1bb9d772266518d4997852dea62bee1.jpg,0:55,181261,54033,39,PeopleSee,22627
